Index,Date,Open,High,Low,Close,Adj Close,Volume
214,09/25/18,1184.25,1196.859985,1174.089966,1193.890015,1193.890015,1657600
215,09/26/18,1193.689941,1207.23999,1185.400024,1194.060059,1194.060059,1882500
216,09/27/18,1200,1216.859985,1198.050049,1207.359985,1207.359985,1813700
217,09/28/18,1204.089966,1208.449951,1197.829956,1207.079956,1207.079956,1780600
218,10/01/18,1213,1224.199951,1203.189941,1208.530029,1208.530029,1658200
219,10/02/18,1206.670044,1224.52002,1199.660034,1207.640015,1207.640015,2009000
220,10/03/18,1212,1214.180054,1202.150024,1211.530029,1211.530029,1312300
221,10/04/18,1205.030029,1205.900024,1163.849976,1177.069946,1177.069946,2328800
222,10/05/18,1176,1182,1154.319946,1167.829956,1167.829956,1592600
223,10/08/18,1160,1175.859985,1135.400024,1155.920044,1155.920044,2309500
224,10/09/18,1151.310059,1161.550049,1144.170044,1145.170044,1145.170044,1684500
225,10/10/18,1136.400024,1137.02002,1091.51001,1092.160034,1092.160034,2949000
226,10/11/18,1079.040039,1116.060059,1075.890015,1090.73999,1090.73999,3384800
227,10/12/18,1119.640015,1125.829956,1095.030029,1120.540039,1120.540039,2468500
228,10/15/18,1118,1121.800049,1098.219971,1102.439941,1102.439941,1503700
229,10/16/18,1113.47998,1136.369995,1111.75,1133.079956,1133.079956,1918900
230,10/17/18,1140,1147,1114,1127.589966,1127.589966,1782600
231,10/18/18,1130,1132.349976,1086.339966,1097.910034,1097.910034,2307600
232,10/19/18,1103.709961,1120.949951,1097.030029,1105.180054,1105.180054,2064300
233,10/22/18,1112.51001,1121.689941,1100,1111.369995,1111.369995,1355800
234,10/23/18,1091.290039,1118,1079.01001,1114.910034,1114.910034,1884300
235,10/24/18,1115,1116.619995,1055.060059,1057.119995,1057.119995,2464300
236,10/25/18,1080.300049,1117.819946,1075.550049,1103.589966,1103.589966,3647800
237,10/26/18,1048.329956,1117,1042.22998,1083.75,1083.75,5321900
238,10/29/18,1096.540039,1108.829956,1007.200012,1034.72998,1034.72998,4064500
239,10/30/18,1020.01001,1050.900024,1013.969971,1049.51001,1049.51001,2988400
240,10/31/18,1068.199951,1108,1068.199951,1090.579956,1090.579956,3545800
241,11/01/18,1091.400024,1099.900024,1077.819946,1085.97998,1085.97998,2006600
242,11/02/18,1089,1098,1067.660034,1071.48999,1071.48999,2171900
243,11/05/18,1072.530029,1073.349976,1034,1055.72998,1055.72998,2267900
244,11/06/18,1055.02002,1079.819946,1053.609985,1069.569946,1069.569946,1433000
245,11/07/18,1083.48999,1109.930054,1080.589966,1108.23999,1108.23999,2169400
246,11/08/18,1107.300049,1108.219971,1084.359985,1094.630005,1094.630005,1684700
247,11/09/18,1084.02002,1088.349976,1064.26001,1077.02002,1077.02002,1743000
248,11/12/18,1073.130005,1074.099976,1040.349976,1049.359985,1049.359985,1700100
249,11/13/18,1054.810059,1066.670044,1040.400024,1047.969971,1047.969971,1287500
250,11/14/18,1060,1065.790039,1041.109985,1054.579956,1054.579956,1733300
251,11/15/18,1051.459961,1078.869995,1041.290039,1071.050049,1071.050049,2079200
252,11/16/18,1065.22998,1072.439941,1054.900024,1068.27002,1068.27002,1764200
